video_id,idx,start,end,text
8N0IZZpF8ts,0,00:00:04.010,00:00:04.020,hi I'm Jared gardener and today we are
8N0IZZpF8ts,1,00:00:04.020,00:00:05.990,hi I'm Jared gardener and today we are going to talk about the basic patterns
8N0IZZpF8ts,2,00:00:05.990,00:00:06.000,going to talk about the basic patterns
8N0IZZpF8ts,3,00:00:06.000,00:00:09.440,going to talk about the basic patterns of melanoma melanoma is a huge topic and
8N0IZZpF8ts,4,00:00:09.440,00:00:09.450,of melanoma melanoma is a huge topic and
8N0IZZpF8ts,5,00:00:09.450,00:00:11.930,of melanoma melanoma is a huge topic and there's so much the entire text books
8N0IZZpF8ts,6,00:00:11.930,00:00:11.940,there's so much the entire text books
8N0IZZpF8ts,7,00:00:11.940,00:00:13.430,there's so much the entire text books have been written about this so much to
8N0IZZpF8ts,8,00:00:13.430,00:00:13.440,have been written about this so much to
8N0IZZpF8ts,9,00:00:13.440,00:00:16.070,have been written about this so much to discuss but I want to go over some of
8N0IZZpF8ts,10,00:00:16.070,00:00:16.080,discuss but I want to go over some of
8N0IZZpF8ts,11,00:00:16.080,00:00:17.960,discuss but I want to go over some of the basic features that we see
8N0IZZpF8ts,12,00:00:17.960,00:00:17.970,the basic features that we see
8N0IZZpF8ts,13,00:00:17.970,00:00:20.750,the basic features that we see histologically that make us think about
8N0IZZpF8ts,14,00:00:20.750,00:00:20.760,histologically that make us think about
8N0IZZpF8ts,15,00:00:20.760,00:00:22.670,histologically that make us think about melanoma when we're evaluating Willie
8N0IZZpF8ts,16,00:00:22.670,00:00:22.680,melanoma when we're evaluating Willie
8N0IZZpF8ts,17,00:00:22.680,00:00:24.890,melanoma when we're evaluating Willie anesthetic lesions I have a video about
8N0IZZpF8ts,18,00:00:24.890,00:00:24.900,anesthetic lesions I have a video about
8N0IZZpF8ts,19,00:00:24.900,00:00:27.859,anesthetic lesions I have a video about the basics of benign Mullane acidic nev
8N0IZZpF8ts,20,00:00:27.859,00:00:27.869,the basics of benign Mullane acidic nev
8N0IZZpF8ts,21,00:00:27.869,00:00:29.320,the basics of benign Mullane acidic nev eye and if you haven't watched that yet
8N0IZZpF8ts,22,00:00:29.320,00:00:29.330,eye and if you haven't watched that yet
8N0IZZpF8ts,23,00:00:29.330,00:00:31.519,eye and if you haven't watched that yet I'll put a link in the top right corner
8N0IZZpF8ts,24,00:00:31.519,00:00:31.529,I'll put a link in the top right corner
8N0IZZpF8ts,25,00:00:31.529,00:00:33.260,I'll put a link in the top right corner of this video and also in the video
8N0IZZpF8ts,26,00:00:33.260,00:00:33.270,of this video and also in the video
8N0IZZpF8ts,27,00:00:33.270,00:00:34.729,of this video and also in the video description down below that might be
8N0IZZpF8ts,28,00:00:34.729,00:00:34.739,description down below that might be
8N0IZZpF8ts,29,00:00:34.739,00:00:37.490,description down below that might be useful because we're going to talk about
8N0IZZpF8ts,30,00:00:37.490,00:00:37.500,useful because we're going to talk about
8N0IZZpF8ts,31,00:00:37.500,00:00:41.000,useful because we're going to talk about some of the ways that melanoma violates
8N0IZZpF8ts,32,00:00:41.000,00:00:41.010,some of the ways that melanoma violates
8N0IZZpF8ts,33,00:00:41.010,00:00:43.850,some of the ways that melanoma violates the rules that we usually see in benign
