umap_x	umap_y	Centroid X µm	Centroid Y µm	Combined_Cluster
-14154.00219673409	-1154.600829903798	8393.6	7496.4	Stroma
-11762.474060789762	554.1263675613427	8478.0	7497.8	Stroma
-27789.285291000757	-1136.1495041483786	8598.1	7496.2	Immune
20235.610860920446	-2505.28853180029	8621.7	7498.3	Stroma
-6701.386746460586	2202.709620514005	8639.3	7498.3	Immune
-8565.917746449391	-1616.7225074798785	8662.8	7498.5	Immune
-25240.41197526235	-1023.6672854482101	8674.3	7496.4	Immune
-18577.071324444012	-2282.865353957361	8771.3	7495.6	Stroma
-22670.388547705403	-1901.025883225265	8789.3	7497.1	Stroma
-2620.430031085154	-1133.6866373470777	8819.4	7497.0	Stroma
-13060.21765007353	-1749.5711104020256	8581.9	7497.1	Immune
-18700.935348297877	-1317.9874856823149	8710.0	7497.2	Stroma
-20628.283088670276	-433.89441991229364	8752.4	7498.8	Stroma
41640.486677138164	-3625.6248258706823	8444.3	7498.7	Stroma
1509.6082193009352	-849.4175096610352	8398.4	7499.1	Immune
94059.78616525386	-1657.6409630766523	8649.0	7506.4	Immune
-4083.3495100118816	-1029.8309351095177	8425.0	7497.4	Stroma
14656.401922054123	-506.6874525028595	8517.6	7500.6	Stroma
-22901.55947776004	-1652.8402018346808	8667.5	7502.3	Immune
-1905.2963709534743	-2493.8490451340094	8587.7	7501.8	Stroma
-16912.71009305501	-2257.969132932432	8688.8	7499.5	Immune
-21249.960508313652	-755.5525004106544	8782.2	7500.7	Immune
-21482.14942299186	-1985.6404946042464	8771.7	7500.5	Stroma
-1274.0084231342116	-795.387546859989	8429.9	7502.7	Immune
16258.373030928793	-777.8529461978151	8455.9	7502.7	Stroma
8792.549175717999	-1450.477995920337	8574.4	7502.9	Stroma
6729.757566138927	1556.5748097758392	8406.6	7502.9	Stroma
-9953.262186023	-925.566187628141	8417.4	7501.5	Stroma
-18117.363769491163	-1422.7581726523636	8819.8	7503.8	Stroma
-23851.506040159475	-943.9625442397139	8596.8	7503.3	Immune
-14112.41543741554	-1127.3012389918667	8676.8	7503.9	Immune
-14097.582741922619	-330.0500970634748	8703.2	7503.5	Immune
31680.758478339805	3463.8449943318774	8630.2	7509.3	Stroma
42904.48571026027	-2583.6484378939904	8779.3	7509.6	Stroma
21507.665905026442	-2101.3400498910646	8437.9	7508.2	Stroma
-13265.214864673697	-2007.9099122897055	8620.4	7507.1	Stroma
