Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Red mean	Nucleus: Red sum	Nucleus: Red std dev	Nucleus: Red max	Nucleus: Red min	Nucleus: Red range	Nucleus: Green mean	Nucleus: Green sum	Nucleus: Green std dev	Nucleus: Green max	Nucleus: Green min	Nucleus: Green range	Nucleus: Blue mean	Nucleus: Blue sum	Nucleus: Blue std dev	Nucleus: Blue max	Nucleus: Blue min	Nucleus: Blue range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Red mean	Cell: Red std dev	Cell: Red max	Cell: Red min	Cell: Green mean	Cell: Green std dev	Cell: Green max	Cell: Green min	Cell: Blue mean	Cell: Blue std dev	Cell: Blue max	Cell: Blue min	Cytoplasm: Red mean	Cytoplasm: Red std dev	Cytoplasm: Red max	Cytoplasm: Red min	Cytoplasm: Green mean	Cytoplasm: Green std dev	Cytoplasm: Green max	Cytoplasm: Green min	Cytoplasm: Blue mean	Cytoplasm: Blue std dev	Cytoplasm: Blue max	Cytoplasm: Blue min	Nucleus/Cell area ratio
CMU-2.svs	8d48d69e-a11e-4602-afb7-1efd60e7e658	Cell			Annotation (ROI)	Polygon	8393.6	7496.4	15.25	20.4061	0.4602	8.3456	3.4036	0.9243	235.3333	15532	16.8343	255	195	60	196.9242	12997	37.1336	255	114	141	214.8182	14178	25.2647	255	158	97	36.75	29.846	0.5184	11.7727	6.3679	0.8463	200.3974	39.963	255	108	142.1126	60.5232	255	32	175.0464	44.7811	255	86	173.2706	30.4789	245	108	99.5529	35.7876	189	32	144.1647	29.6511	211	86	0.4085
CMU-2.svs	204e74ab-948a-4be3-a6f6-a3fb8cd9dcfd	Cell			Annotation (ROI)	Polygon	8478	7497.8	18.75	29.6258	0.2685	12.4017	3.5732	0.9565	221.3293	18149	22.6105	255	142	113	159.2195	13056	34.3278	248	89	159	189.4878	15538	23.1561	252	149	103	176	56.2324	0.6994	23.0764	10.6527	0.8842	171.1487	47.6472	255	36	108.9915	42.0603	248	17	152.2819	31.824	253	79	164.5545	46.126	255	36	102.391	38.3798	244	17	147.3926	29.4994	253	79	0.11
CMU-2.svs	62634a45-f4b3-4704-984b-673f93138010	Cell			Annotation (ROI)	Polygon	8598.1	7496.2	9.5	11.9067	0.8421	4.1839	3.1695	0.6176	174.6341	7160	33.3532	244	109	135	125.8293	5159	34.135	204	64	140	165.3659	6780	21.8984	207	119	88	67	33.9852	0.729	13.3405	6	0.8863	114.8974	42.8167	244	33	73.9084	33.8854	204	16	124.4652	26.6253	207	77	104.3405	34.9389	216	33	64.7328	24.2328	149	16	117.2371	20.0575	177	77	0.1343
CMU-2.svs	8ab5aae1-0385-4100-bfd0-2f0424051d6f	Cell			Annotation (ROI)	Polygon	8621.7	7498.3	36	28.5948	0.5533	12.1861	4.2552	0.9551	238.1013	35239	12.2317	255	200	55	222.4257	32919	24.5421	254	151	103	230.7973	34158	16.2836	255	189	66	150	48.9157	0.7878	20.0533	10.3621	0.8317	169.4454	58.1176	255	4	127.5381	64.8573	254	3	163.9354	47.9418	255	47	147.1623	48.9604	225	4	96.7412	38.742	191	3	142.2346	32.16	219	47	0.2389
CMU-2.svs	a6ba2704-9d41-4181-b43b-36910bf146c1	Cell			Annotation (ROI)	Polygon	8639.3	7498.3	29.25	25.4093	0.5693	9.3415	5.4569	0.795	181.7025	21986	15.5095	224	136	88	116.4628	14092	14.1898	152	83	69	159.6612	19319	9.7567	187	132	55	136	46.2477	0.799	16.8356	12.1842	0.656	144.6606	29.4309	224	49	89.6917	22.217	159	36	137.7743	17.7252	187	96	134.0896	23.2639	211	49	82.0519	17.7244	159	36	131.5283	14.1745	181	96	0.2204
CMU-2.svs	6ce59ba1-60d5-498f-837e-49e2b8dcf734	Cell			Annotation (ROI)	Polygon	8662.8	7498.5	19.75	22.2936	0.4994	7.7263	4.4156	0.8935	216.6353	18414	36.8142	255	123	132	190.1882	16166	49.7906	255	74	181	209.6941	17824	33.7695	254	133	121	59	38.9162	0.4896	13.8669	8.6639	0.8797	169.4034	66.053	255	22	136.7227	69.8657	255	3	170.5924	52.3239	254	40	143.1634	64.1349	253	22	107.0196	61.2715	251	3	148.8693	48.0476	252	40	0.3311
CMU-2.svs	be467cad-92a0-4791-af76-c04147443ff2	Cell			Annotation (ROI)	Polygon	8674.3	7496.4	9.25	12.1428	0.7883	4.0785	3.5187	0.2148	201.3409	8859	34.0355	253	131	122	150.4773	6621	40.732	232	78	154	182.4091	8026	25.7838	232	129	103	60.75	30.9818	0.7953	11.2022	7.1542	0.8114	136.2289	58.0276	253	24	95.6546	54.4074	252	4	141.1928	40.6884	251	62	122.2537	52.3317	253	24	83.8878	49.6138	252	4	132.3463	37.7815	251	62	0.1557
CMU-2.svs	a1bf90ff-244e-4966-97b5-ecbab5f71feb	Cell			Annotation (ROI)	Polygon	8771.3	7495.6	12.25	13.0743	0.9006	4.8839	3.4692	0.6238	235.8039	12026	12.6127	255	207	48	221.0784	11275	21.6258	253	157	96	231.6863	11816	13.5904	255	197	58	50.75	32.3275	0.6102	12.8339	5.3333	0.9319	188.1787	45.3478	255	20	141.5169	54.7384	253	16	175.1546	40.3716	255	69	172.609	41.1273	255	20	115.5064	32.6742	195	16	156.6731	26.6696	224	69	0.218
CMU-2.svs	157dbdb4-435c-4090-99db-1efbe150a120	Cell			Annotation (ROI)	Polygon	8789.3	7497.1	9.25	12.4899	0.7451	4.4709	3.2267	0.6908	229.3023	9860	17.8266	255	195	60	204.2791	8784	30.4086	255	126	129	217.7907	9365	22.8947	253	148	105	79.5	35.3851	0.7979	12.8656	8.8333	0.6501	168.5514	56.4011	255	33	131.0062	59.0337	255	18	167.0592	42.4796	253	73	159.1547	54.4534	255	33	119.6727	54.0685	239	18	159.2122	39.2918	238	73	0.1257
CMU-2.svs	d3ba9559-2428-457d-abd1-2b27520d3d8b	Cell			Annotation (ROI)	Polygon	8819.4	7497	26	24.677	0.5365	10.2393	4.2723	0.9116	214.3942	22297	25.999	255	136	119	183.2212	19055	36.2933	251	95	156	204.9423	21314	24.2306	249	137	112	103.5	45.4191	0.6305	17.8801	8.9477	0.8906	167.6611	53.7479	255	38	129.7837	52.5033	251	20	168.0288	38.0008	249	82	152.0833	51.5484	255	38	111.9712	44.3729	210	20	155.7244	33.5404	224	82	0.2419
